# Scattering^16 vs Time
# Time,Scatter amount^16
# Forward scatter, Side scatter
127.000000 1608275739913.756592 51547.697653
128.000000 3424357818458.193848 58001.244312
129.000000 6721604897498.195312 61019.899378
130.000000 12189871247287.925781 60137.220377
131.000000 20481032492576.171875 55787.006915
132.000000 31971517431374.531250 48546.153076
133.000000 46492891075214.226562 39752.430717
134.000000 63163750915999.726562 30580.554785
135.000000 80333668340680.156250 22327.089610
136.000000 96008232758082.421875 15444.374090
137.000000 108010208443624.328125 10130.189417
138.000000 114676415398584.484375 6329.332526
139.000000 115258681624590.265625 3769.205105
140.000000 109864904236603.484375 2149.323438
141.000000 99589818846993.843750 1168.179389
142.000000 86135419428165.328125 612.700352
143.000000 71180187807561.875000 305.438930
144.000000 56355797089116.320312 149.567940
145.000000 42891616509804.539062 71.234312
146.000000 31430988072992.285156 32.498863
147.000000 22251012841510.488281 14.799055
148.000000 15254186083147.173828 6.667573
149.000000 10151819031782.976562 2.951335
150.000000 6586245354030.787109 1.309865
151.000000 4170889067444.652344 0.598530
152.000000 2587794444292.416504 0.265382
153.000000 1574458247174.325684 0.120881
154.000000 946155127224.068481 0.057348
155.000000 560443167716.089111 0.026500
156.000000 328578716840.528076 0.012676
157.000000 191674983209.327179 0.006374
158.000000 111186651361.557739 0.003188
159.000000 64253555450.460281 0.001595
160.000000 37080621080.043587 0.000850
161.000000 21418683781.664406 0.000449
162.000000 12418063361.481039 0.000237
163.000000 7205571145.427111 0.000135
164.000000 4200985526.413024 0.000075
165.000000 2453347763.098390 0.000042
166.000000 1443274624.455342 0.000025
167.000000 850207163.468213 0.000015
168.000000 502589930.349942 0.000009
169.000000 297360299.688059 0.000006
170.000000 176486275.653036 0.000004
171.000000 104836086.815618 0.000002
172.000000 62473960.998499 0.000002
173.000000 37122446.152321 0.000001
174.000000 22071225.537924 0.000001
175.000000 13174791.620052 0.000001
176.000000 7833319.920535 0.000001
177.000000 4670397.926162 0.000000
178.000000 2800024.811106 0.000000
179.000000 1674827.113387 0.000000
180.000000 1008712.048682 0.000000
181.000000 613590.390633 0.000000
182.000000 373418.097652 0.000000
183.000000 230328.911391 0.000000
184.000000 144241.403214 0.000000
185.000000 90753.909805 0.000000
186.000000 58121.493978 0.000000
187.000000 37984.242403 0.000000
188.000000 25137.326967 0.000000
189.000000 16945.676374 0.000000
190.000000 11656.441151 0.000000
191.000000 8129.947141 0.000000
192.000000 5767.502227 0.000000
193.000000 4165.491486 0.000000
194.000000 3037.857858 0.000000
195.000000 2236.783938 0.000000
196.000000 1669.333211 0.000000
197.000000 1236.278338 0.000000
198.000000 923.098871 0.000000
199.000000 683.948256 0.000000
200.000000 501.283268 0.000000
201.000000 366.147399 0.000000
202.000000 261.808299 0.000000
203.000000 186.571033 0.000000
204.000000 128.538347 0.000000
205.000000 87.747101 0.000000
206.000000 58.349627 0.000000
207.000000 37.993251 0.000001
208.000000 24.412167 0.000001
209.000000 15.363667 0.000001
210.000000 9.619504 0.000001
211.000000 5.924119 0.000002
212.000000 3.563435 0.000002
213.000000 2.174152 0.000003
214.000000 1.315272 0.000003
215.000000 0.795755 0.000004
216.000000 0.481729 0.000004
217.000000 0.297603 0.000005
218.000000 0.184794 0.000005
219.000000 0.117361 0.000005
220.000000 0.075588 0.000005
221.000000 0.050540 0.000005
222.000000 0.033881 0.000005
223.000000 0.023618 0.000004
224.000000 0.017061 0.000004
225.000000 0.012506 0.000003
226.000000 0.009519 0.000003
227.000000 0.007452 0.000003
228.000000 0.005930 0.000002
229.000000 0.005005 0.000002
230.000000 0.004240 0.000002
231.000000 0.003643 0.000002
232.000000 0.003312 0.000001
233.000000 0.003004 0.000001
234.000000 0.002726 0.000001
235.000000 0.002594 0.000001
236.000000 0.002478 0.000001
237.000000 0.002349 0.000001
238.000000 0.002252 0.000001
239.000000 0.002191 0.000001
240.000000 0.002143 0.000001
241.000000 0.002094 0.000001
242.000000 0.002044 0.000001
243.000000 0.001984 0.000001
244.000000 0.001924 0.000001
245.000000 0.001912 0.000001
246.000000 0.001826 0.000000
247.000000 0.001767 0.000000
248.000000 0.001715 0.000001
249.000000 0.001659 0.000001
250.000000 0.001575 0.000001
251.000000 0.001507 0.000001
252.000000 0.001453 0.000001
253.000000 0.001382 0.000001
254.000000 0.001336 0.000001
255.000000 0.001289 0.000001
256.000000 0.001283 0.000001
257.000000 0.001249 0.000001
258.000000 0.001231 0.000001
259.000000 0.001257 0.000001
260.000000 0.001270 0.000001
261.000000 0.001298 0.000001
262.000000 0.001367 0.000002
263.000000 0.001430 0.000002
264.000000 0.001540 0.000002
265.000000 0.001657 0.000002
266.000000 0.001773 0.000002
267.000000 0.001943 0.000002
268.000000 0.002108 0.000002
269.000000 0.002270 0.000003
270.000000 0.002460 0.000003
271.000000 0.002616 0.000003
272.000000 0.002802 0.000003
273.000000 0.002977 0.000003
274.000000 0.003095 0.000003
275.000000 0.003263 0.000003
276.000000 0.003372 0.000003
277.000000 0.003419 0.000003
278.000000 0.003480 0.000003
279.000000 0.003438 0.000003
280.000000 0.003398 0.000003
281.000000 0.003334 0.000003
282.000000 0.003175 0.000003
283.000000 0.003013 0.000003
284.000000 0.002831 0.000003
285.000000 0.002589 0.000003
286.000000 0.002358 0.000003
287.000000 0.002108 0.000003
288.000000 0.001870 0.000003
289.000000 0.001669 0.000003
290.000000 0.001436 0.000003
291.000000 0.001241 0.000003
292.000000 0.001097 0.000002
293.000000 0.000958 0.000002
294.000000 0.000834 0.000002
295.000000 0.000736 0.000002
296.000000 0.000659 0.000002
297.000000 0.000595 0.000002
298.000000 0.000546 0.000002
299.000000 0.000504 0.000002
300.000000 0.000476 0.000002
301.000000 0.000446 0.000002
302.000000 0.000429 0.000002
303.000000 0.000415 0.000002
304.000000 0.000405 0.000002
305.000000 0.000401 0.000002
306.000000 0.000395 0.000003
307.000000 0.000399 0.000003
308.000000 0.000405 0.000003
309.000000 0.000408 0.000003
310.000000 0.000427 0.000003
311.000000 0.000450 0.000003
312.000000 0.000467 0.000003
313.000000 0.000492 0.000003
314.000000 0.000516 0.000003
315.000000 0.000562 0.000003
316.000000 0.000610 0.000003
317.000000 0.000650 0.000003
318.000000 0.000708 0.000003
319.000000 0.000775 0.000003
320.000000 0.000857 0.000003
321.000000 0.000940 0.000004
322.000000 0.001053 0.000004
323.000000 0.001206 0.000004
324.000000 0.001382 0.000005
325.000000 0.001605 0.000005
326.000000 0.001988 0.000005
327.000000 0.002497 0.000005
328.000000 0.003223 0.000006
329.000000 0.004442 0.000006
330.000000 0.006455 0.000005
331.000000 0.009899 0.000005
332.000000 0.015934 0.000005
333.000000 0.027415 0.000004
334.000000 0.050181 0.000004
335.000000 0.095984 0.000004
336.000000 0.193622 0.000003
337.000000 0.416444 0.000003
338.000000 0.922577 0.000002
339.000000 2.105316 0.000002
340.000000 5.064674 0.000002
341.000000 12.414770 0.000002
342.000000 30.941322 0.000002
343.000000 79.269350 0.000002
344.000000 205.487784 0.000002
345.000000 534.857734 0.000002
346.000000 1418.531483 0.000002
347.000000 3766.068129 0.000002
348.000000 9994.097410 0.000003
349.000000 26832.904517 0.000003
350.000000 72026.052481 0.000004
351.000000 194276.495124 0.000005
352.000000 523516.914694 0.000006
353.000000 1412924.834282 0.000008
354.000000 3822959.631904 0.000011
355.000000 10298357.916128 0.000015
356.000000 27634594.352702 0.000020
357.000000 73781375.477298 0.000026
358.000000 194555685.843538 0.000035
359.000000 505843287.800749 0.000047
360.000000 1287214388.219544 0.000062
361.000000 3198174956.763257 0.000080
362.000000 7735299047.547801 0.000102
363.000000 18032833579.238316 0.000127
364.000000 40351934062.698372 0.000153
365.000000 86369810002.191544 0.000179
366.000000 175798538390.084930 0.000205
367.000000 339240562907.861572 0.000224
368.000000 616529906718.663574 0.000236
369.000000 1054690819988.763428 0.000238
370.000000 1682689090566.244629 0.000232
371.000000 2511683160103.497559 0.000217
372.000000 3491917775244.220703 0.000194
373.000000 4491469171435.527344 0.000169
374.000000 5357969389214.617188 0.000141
375.000000 5896708453166.797852 0.000113
376.000000 5973427057837.656250 0.000088
377.000000 5570475290241.045898 0.000066
378.000000 4760231854893.151367 0.000048
379.000000 3721100652293.565918 0.000033
380.000000 2655024346501.512207 0.000022
381.000000 1723796647894.768311 0.000014
382.000000 1018701351522.374512 0.000009
383.000000 545369751878.963257 0.000005
384.000000 263646178224.445496 0.000003
385.000000 115241624830.684723 0.000001
386.000000 45334637125.191963 0.000001
387.000000 15985107451.737070 0.000000
388.000000 5063366681.208387 0.000000
389.000000 1433825312.800493 0.000000
390.000000 361813868.992333 0.000000
391.000000 81569256.057938 0.000000
392.000000 16353524.318445 0.000000
393.000000 2911647.734819 0.000000
394.000000 461937.331016 0.000000
395.000000 65072.143115 0.000000
396.000000 8154.310290 0.000000
